No;Judul;Penulis;Abstract
411;Incorporating fire-smartness into agricultural policies reduces suppression costs and ecosystem services damages from wildfires;"Judit Lecina-Diaz a,b,c,* , Mar?-Luisa Chas-Amil d , N?ia Aquilu?e e,f , Angelo ? Sil b,c,g,h , Llu? Brotons e,i,j , Adrian ? Regos b,c,e,k , Julia Touza l";"In southern Europe, land abandonment and an unbalanced investment toward fire suppression instead of prevention has gradually increased wildfire risk, which calls for a paradigm change in fire management policies. Here we combined scenario analysis, fire landscape modelling, and economic tools to identify which land-use policies would reduce the expected wildfire-related losses in the Transboundary Biosphere Reserve ?Ger?esXur?es? (Spain-Portugal). To do so, we applied the least-cost-plus-net-value-change approach and estimated net changes in wildfire damages based on their implications for the 2010?2050 period and five ecosystem services: agriculture, pasture, timber, recreation and climate regulation. Four land-use scenarios were considered: (1) Business as Usual (BAU) (2) fire-smart, fostering more fire-resistant (less flammable) and/or fire-resilient landscapes (fire-smart) (3) High Nature Value farmlands (HNVf), wherein the abandonment of extensive agriculture is reversed and (4) a combination of HNVf and fire-smart. HNVf is the best scenario for suppression cost savings, but it generates the lowest net present value of societal benefits from climate regulation. In fact, the most efficient scenario with the lowest societal discounted net suppression costs and change on ecosystem services damages is the HNVf + fire-smart scenario, as it also generates suppression cost savings from agricultural expansion, and lead to a significant reduction in damages on timber and recreational benefits. Therefore, reverting land abandonment through recultivation and promoting fire-resistant tree species is the most efficient way to reduce wildfire hazard. In this sense, payments for ecosystem services should reward farmers and landowners for their role in wildfire prevention. This study improves the understanding of the financial and societal benefits derived from reducing fire suppression spending and ecosystem services damage by undertaking fire-smart land-use strategies, which can be essential to enhance local stakeholders? support for Payments of Ecosystem Services policies for wildfire prevention."
412;Voter evaluations regarding the tradeoffs between agricultural production and water quality in Lake Erie;"Richard T. Melstrom a,* , Trey Malone b";"This research note examines public support for policies to regulate and incentivize pollution control in the farm sector to protect water quality in the western basin of Lake Erie. We conducted an experiment in which local residents indicated whether a policy was fair depending on whether it targeted waste from animal feeding operations or fertilizer runoff from crop farms and if it used regulations or incentives. We then asked how they would vote in a referendum on the policy. Our results show that while support for such policies is widespread, residents are most willing to support regulating fertilizer runoff (i.e. nonpoint source pollution) from crop farms."
413;"A monitoring, reporting and verification system for low carbon agriculture: A case study from Brazil";"Bruno Perosa a,* , Peter Newton b , Ramon Felipe Bicudo da Silva c,d";"Low carbon agricultural techniques, which aim to reduce agricultural emissions without compromising productivity, are being widely adopted as one strategy to promote more sustainable food systems. Evaluating the impact of such practices requires an effective monitoring, reporting and verification (MRV) system. To our knowledge, no MRV system has been designed or implemented for monitoring and measuring the impacts of the adoption of low carbon agricultural practices. The goal of this paper is to explore the opportunities and challenges of developing a large scale MRV system for low carbon agriculture in Brazil - a major global food producer. The analysis presented in this paper is based on primary data, collected through interviews and conversations with experts, and secondary data from a literature review as well as from public and private databases. Hence, we discuss the three phases of monitoring, reporting and verification. In each case, we analyze the informational needs of an MRV system, evaluate the strengths and limitations of available tools to collect and process these data, and present a vision of how these constituent parts could form a comprehensive MRV system for Brazil. Our analysis reveals technical and governance challenges. On the technical side, challenges include the need to develop emissions factors to calculate mitigation across a range of biomes and low carbon agricultural techniques, and the high costs of gathering and verifying information on farm level. On the governance side, there is a need to generate economic incentives for farmers to share private, farm-level data with a public MRV system. The MRV system could help producers to demonstrate adoption and mitigation, giving them improved access to low-interest credit or certification programs. We conclude that the implementation of a large scale MRV system for low carbon agriculture demands an integrative approach based on a hybrid public-private governance system that prioritizes cost-effectiveness and facilitates smooth information transfer."
414;Evapotranspiration partitioning and agricultural drought quantification with an optical trapezoidal framework;"Ngoc My Nguyen a,b , Minha Choi c,d,";"The Optical Trapezoidal method is a recently proposed method using solely optical remote sensing data with promising potential in hydroclimatic applications however, its application in evapotranspiration (ET) partitioning is still questionable. This study therefore improved an Optical Trapezoidal-based Evaporative Fraction (OPTREF) model reliant on the physical association between soil surface properties and shortwave infrared transformed reflectance (STR). The proposed model was parameterized using trapezoidal shapes formed by STR and Normalized Difference Vegetation Index (NDVI) retrieved from Sentinel-2 to compute contribution of transpiration to ET (T/ET) in the Central Valley region of California, United States. Results indicated that the OPTREF model efficiently captured regional plant characteristics and seasonal variation of T/ET for three typical land cover types in study region (cropland, grassland, and savanna), particularly T/ET discrepancies rising from alternative cropping systems in cropland. Importantly, predicted T/ET values were in good agreement with previous modelling and empirical reports for example, T/ET ranges in [0.37-0.75] for cropland, [0.30-0.82] for grassland, and [0.39-0.77] for savanna. In addition, applicability of the OPTREF approach was investigated in tracking agricultural drought using evaporative drought index (EDI), together with analysis of physiological response of T/ET to drought. The OPTREF-based EDI consistently reflected the same drought patterns indicated by records of vegetation health index and drought area percentages data from NOAA. Also, our findings uncovered that under extreme drought, the T/ET ratio is likely to increase and might be approximately equal to 1.0 in areas covered by drought-tolerant plants. Overall, this OPTREF approach offers novelty, simplicity, and versatility to satellite-based remote sensing of ET partitioning and identifying agricultural drought, especially in the context of rapid climate variation."
415;Dynamic impact of negative public sentiment on agricultural product prices during COVID-19;"Yunqiang Liu a,1 , Sha Liu a,1 , Deping Ye a , Hong Tang a,b , Fang Wang a,";"The COVID-19 pandemic has had a significantly negative impact on public sentiment, which has resulted in panic and some irrational buying behavior, which in turn has had a complex impact on agricultural product prices. This study quantified online negative sentiment using micro-blog text mining and a time-varying parameter vector autoregressive model (TVP-VAR) to empirically analyze the dynamic impact of negative public emotions on agricultural product prices during the COVID-19 pandemic in China. It was found that the online negative sentiment impacted agricultural products prices during COVID-19 and had significant time-varying, lag, and life cycle characteristics, with the responses being most significant in the spread and recession periods. Differences were found in the price responses for different agricultural products and in different risk areas. The online negative sentiment was found to have the greatest impact on vegetable prices, with livestock products and vegetable prices being mainly positively impacted, fruit prices being mainly negatively impacted, and aquatic product prices being negatively impacted in the early stage and positively impacted in the middle and late stages. The online negative sentiment had the greatest impact on medium-risk area agricultural product prices, followed by low-risk areas, with the lowest impact found on the high-risk area agricultural product prices. Three policy suggestions for epidemic monitoring, public opinion guidance and control, and the timely release of agricultural product information are given based on the results."
416;Is the technical efficiency green? The environmental efficiency of agricultural production in the MENA region;"Wei Huang a,* , Qian Liu b , Assem Abu Hatab a,c,d,";"There is widespread recognition of the global environmental impact of agricultural production on greenhouse gas emissions, but evidence is sparse regarding the impact in the Middle East and North Africa (MENA) region. In this study, we treat agricultural emissions as an undesirable output from agricultural production and apply the directional distance function to measure environmentally-adjusted technical efficiency, defined as environmental efficiency in agricultural production, in six countries in the MENA region (Algeria, Egypt, Israel, Jordan, Morocco, Tunisia) during the period 1980?2016. The results show that all six countries have clear scope to improve their environmental efficiency. Agricultural production is greener in Jordan and Israel, while environmental efficiency is currently lowest in Egypt and Morocco. Estimated relative shadow price of agricultural emissions is - 1.002, implying that the ?cost? of removing agricultural emissions is almost equal to the value of producing one unit of good output. These findings suggest there is a trade-off between agriculture emissions and production, which should be considered in efforts to enhance the sustainability of agricultural production in the MENA region."
417;"Characterising cropland fragmentation in post-Soviet Central Asia, using Landsat remote-sensing time series data";"Christoph Raab a,b,* , Michael Spies a";"Following the dissolution of the Soviet Union, agricultural reforms in Central Asia often translated into the fragmentation of large fields into smaller shares. Most remote-sensing-based land use classification approaches are categorical in nature, and thus they are unable to capture these changes. We have developed an approach to detecting the timing of land fragmentation based on textural information from a time series of Landsat images for four Central Asian countries (Uzbekistan, Turkmenistan, Kyrgyzstan and Tajikistan) between 1990 and 2019. Our results showed that detected fragmentation events correspond well with documented agrarian reform processes in the different countries, and validation yielded maximum overall accuracies between 67 and 73%. In a case study of a former collective farm in Kyrgyzstan, we demonstrate how our method can accurately detect changes on the local scale. Texture time series data have great potential for analysing the trajectories of cropland fragmentation, in particular in regions where additional information on land use is limited."
418;The impact of silver nanoparticles on the growth of plants: The agriculture applications;"Sajad Khan a , Muhammad Zahoor b,* , Raham Sher Khan a , Muhammad Ikram c , Noor Ul Islam d";"Nanotechnology is the most advanced and rapidly progressing field of science and technology. It primarily deals with developing novelty in nanomaterials by understanding and controlling matter at the nanoscale level. Silver nanoparticles (AgNPs) are the most prominent nanoparticles incorporated with wide-ranging applications, owing to their distinct characteristics. Different methods have been employed for nanoparticles synthesis like chemical method, physical method, photochemical method, top-down/bottom-up approach and biological methods. The positive impacts of silver nanoparticles have been observed in various economy-based sectors, including agriculture. The scientific curiosity about AgNPs in agriculture and plant biotechnology has shown optimum efficacy over the last few years. It not only enhances seed germination and plant growth, but also improves the quantum efficiency of the photosynthetic process. AgNPs play a vital role in agriculture by having several applications that are crucial for ensuring food security and improving crop production. Moreover, they also act as nano-pesticides, providing sufficient dose to the target plants without releasing unnecessary pesticides into the environment. Nanofertilizers slowly release nutrients to the plants, thereby preventing excessive nutrient loss. AgNPs are utilized for effective and non-toxic pest management, making them an excellent tool for combating pests safely. They combine either edible or non-biodegradable polymers for active food packaging. In addition, AgNPs also possess diverse biological properties such as antiviral, antibacterial and antifungal activities, which protect plants from hazardous microbes. The aim of this review is to comprehensively survey and summarize recent literature regarding the positive and negative impacts of AgNPs on plant growth, as well as their agricultural applications."
419;Crop type mapping in the central part of the North China Plain using Sentinel-2 time series and machine learning;"Ke Luo a,b,c , Linlin Lu b,c,* , Yanhua Xie d , Fang Chen b,c , Fang Yin e , Qingting Li f";"The North China Plain (NCP), a major agricultural area in China, plays an important role in China?s grain production. Timely and accurate crop information for NCP is very important to China?s food security and sustainable development. Due to high variability of the temporal profiles of vegetation indices, classification models using temporally aggregated remote sensing data often exhibit suboptimal performance for multi-crop classification in the NCP with complex cropping patterns. Therefore, optimal feature sets and classification models should be developed for efficient and accurate crop mapping in this region. In this study, we used all available Sentinel-2 imagery in 2020 to map major crops including winter wheat/corn, cotton, peanut, and millet in a typical winter wheat production city in the central part of the NCP. NDVI time series, textural, and phenological features from Sentinel-2 time series and topographic features of the study area were derived as input features (394 features in total). Two feature selection methods, random forest and unsupervised feature selection based on multi-subspace randomization and collaboration (SRCFS), were used to select 20 informative features from the 394 features. Then, four groups of features were evaluated with three machine learning classifiers, i.e., random forest (RF), support vector machine (SVM), and artificial neural network (ANN). The results showed that the most useful features for crop type classification for the region were phenological and textural features during February to March and April to May. When using the full feature set, RF provided the best results compared with SVM and ANN. However, both RF and SVM classifier with 20 RF-selected features generated the optimal results. The crops were identified with an overall accuracy of 93% and a kappa coefficient of 0.9 in the final 10-meter resolution crop map. The feature selection and machine learning classification methods can be applied to highresolution crop mapping using time series of Sentinel-2 data in agricultural regions with mixed cropping patterns in an efficient manner."
420;"Hydrogeologic and geomorphic processes in a karst landscape and seasonably-cold climate: Linking spatial distribution and morphometric dynamics of closed depressions to bedrock fractures in a wastewater spray irrigated agricultural and forest system located at the site of the Living Filter in Central Pennsylvania, United States";"Timothy J. Daniel a , John Richendrfer b , Ronald Falta a , Lawrence Murdoch a , Henry Lin c,1 , Christophe J.G. Darnault a,";"The Living Filter at Pennsylvania State University in Central Pennsylvania receives on average 1.5 million gallons per day (MGD) of secondary treated wastewater effluent year-round since 1962. The objective of this study was to identify and relate any bedrock fracture traces and surface depressions to any surficial or geomorphologic processes currently underway as a result of irrigation. The Living Filter is underlain by a massive dolomite with fractures trending near N-S that were previously documented using photogrammetry. A manual process was developed in order to determine the trend and location of several fracture traces within the Astronomy site section of the Living Filter. A semi-automated isolation scheme was next used to identify and correlate closed depressions to the location of fracture traces in the Living Filter. A predominant but slight NE-SW trend was observed among fractures at N5E in the area north of the Pennsylvania Furnace Anticline. A high occurrence of depressions was noted in the area of fractures compared to non-fractured bedrock. The depressions in this area were found to have a net gain of 8000 ft2 , the result of which was from the net loss of 5000 ft2 within the agricultural portion of the site and a net gain of 13,000 ft2 within the forested portion of the site. Cross sections of several depressions within cropped areas indicated a lower angle slope corresponding to a V-shape while depressions within forested areas were characterized by a traditional U-shape and previously established steeper slope. These findings will enhance the current understanding of the different morphologic characteristics of both forested and agricultural depressions in karst topography. The workflows implemented here can be implemented in similar sites that display topographical variances from the bedrock fractures."
421;Embedding a precision agriculture service into a farm management information system - ifarma/PreFer;"Christos Karydas a,* , Myrto Chatziantoniou b , Kostas Stamkopoulos b , Miltiadis Iatrou a , Vangelis Vassiliadis b , Spiros Mourelatos a";"Today, bridging precision agriculture (PA) with farm management is a high priority. To respond to this challenge, a precision fertilization service for extended crops, namely ?PreFer? (developed by ?Ecodevelopment? enterprise), was embedded as a new module in a cloud-based farm management information system (FMIS), namely ?ifarma? (developed by ?Agrostis? enterprise). The new PreFer module preserves the full potential of the original service methodology, while taking advantage of all fundamental functionalities of the ifarma platform. PreFer as a service uses a GIS to store and process the farmers? geodatabases, which are fed from multiple sources, such as soil surveys, satellite data, yield monitors, etc. This GIS is also used to feed the machine learning algorithms of ?PreFer? with the required data to produce the prescription maps for both broadcasting and topdressing fertilizations. Then, all tables and maps are transferred from the GIS to the platform upon their production, thus becoming immediately available to the farmers. The ?ifarma/PreFer? module was tested during the 2022 cultivation season, showing that fully meets farmers? requirements. This work also indicates that synergies like this are more than necessary to create added-value in commercial precision agriculture."
422;Nutrient retention of newly restored wetlands receiving agricultural runoff in a temperate region of North America;"Bryan Page a,* , Pascal Badiou a , Owen Steele b";"Globally, eutrophication is deemed to be the greatest threat to freshwater resources and is particularly problematic for large shallow lakes where the prevalence of cyanobacterial blooms has increased in recent decades. Restored wetlands have been identified as natural infrastructure that can reduce nutrient loads from agricultural landscapes, thereby reducing eutrophication in downstream freshwater systems. While restored wetlands are generally accepted as efficient nutrient transformers and processors, there are relatively few studies that examine nutrient retention based on detailed hydrological budgets across seasons. We determined the nutrient retention capacity for phosphorus and nitrogen species of newly restored wetlands (<8 years old) receiving nonpoint source agricultural runoff over two water years. These restored wetlands are located in an intensive agricultural region that contributes to the central and western basin of Lake Erie. Two-year mean TP and TN wetland retention capacities were 11.7 ? 5.9 and 261.2 ? 112.3 kg ha- 1 yr- 1 , respectively. Two-year mean TP and TN wetland retention efficiencies were 46 ? 13 and 47 ? 8%, respectively. The mean SRP retention capacity and reduction efficiency over the two-year monitoring period were 4.8 ? 1.7 kg ha- 1 yr- 1 and 60 ? 11%, respectively. Investigating data over two water years revealed that nutrient retention was noticeably different across seasons for both TP and TN, with the highest retention occurring in summer for TP (5.7 ? 2.7 kg P ha- 1 ) and in the spring for TN (99.9 ? 50.0 kg N ha- 1 ). Our findings demonstrate that restored wetlands in agriculturally intensive temperate regions designed primarily for wildlife habitat can effectively reduce nonpoint source nutrients under a range of hydrological conditions. However, further research is needed to investigate the long-term effectiveness of restored wetlands as natural infrastructure for nutrient reduction, and to evaluate the potential environmental trade-offs and economic benefits of their implementation."
423;Transformation characteristics of organic matter and phosphorus in composting processes of agricultural organic waste: Research trends;"Shiyu Xie a , Huu-Tuan Tran b , Mingjun Pu a , Tao Zhang a,";"Agricultural waste is rich in organic matter and an important secondary source of phosphorus, which can be converted into valuable products through various technologies. Composting is an effective way to treat agricultural waste and further produce organic fertilizer, achieving waste minimization and stabilization. This paper reviews the current situation of agricultural waste pollution and composting technology, introduces the parameters that influence of the composting process and the optimal conditions, and presents the indicators for evaluating the decay of compost products and the evaluation criteria as well. In the composting process, small-molecule organic acids produced by the degradation of easily degradable organic matter such as sugars and lipids and various enzymes produced by microorganisms (phytase, phosphatase, etc.) can mineralize organic phosphorus such as phytate and phospholipids, promote phosphorus activation and provide phosphorus sources for microorganisms, so the conversion of organic matter and phosphorus is related to the fertilizer effect of composted products. Therefore, the clarification of the characteristics of organic matter and phosphorus transformation in the composting process is an important prerequisite for the resource utilization of agricultural organic waste. This paper provides theoretical support for the sustainable utilization of agricultural organic waste resources."
424;Does agricultural ecology cause environmental degradation? Empirical evidence from Bangladesh;"Shanjida Chowdhury a , Sunjida Khan b , Md Fouad Hossain Sarker c,* , Md Kabirul Islam d , Maruf Ahmed Tamal e , Niaz Ahmed Khan f";"Agricultural sector accelerates a nation?s economic growth towards sustainable development. There exists a significant relationship between agriculture and the environment. Sustainable agricultural development ensures food quality and in tandem prevents natural calamities like drought. However, in order to fulfill the food demand of a growing population, poor law quality and untenable agriculture practices arise, which in turn lead to environmental degradation. The current study explores the relationship between the agro-economic atmosphere and CO2 emissions as a measure of environmental degradation in Bangladesh between the years of 1985 and 2017. To exhibit the long-run relationship of agricultural ecology and carbon dioxide emissions, three cointegrated equations- Fully-modified ordinary least square (FMOLS), Dynamic ordinary least square (DOLS), and Canonical cointegrated regression (CCR) were assessed. For cointegration, Bayer-Hanck cointegration was implied. In long-run estimates, it was found that livestock, rice area harvested, cereal production, and other crop production impeded environmental dilapidation. The Granger Causality Test enabled unidirectional causality towards burned biomass (crop residues), the agricultural economy, and carbon emissions. Therefore, this dimension?s causality concluded that carbon dioxide emissions were caused by cereal production, other agricultural production, and agricultural land production. The overall findings of this study could potentially assist the Government of Bangladesh and the necessary authorities for implementing synchronized policies to help reduce environmental pollution and set an example for other developing nations like Bangladesh."
425;Land use classification over smallholding areas in the European Common Agricultural Policy framework;"Manuel Campos-Taberner a,* , Francisco Javier Garc?-Haro a , Beatriz Mart?ez a , Sergio Sanchez-Ruiz ? a , Alvaro ? Moreno-Mart?ez b , Gustau Camps-Valls b , Mar? Amparo Gilabert a";"Land use (LU) monitoring and mapping from remote sensing (RS) data are relevant topics in Earth observation (EO). LU monitoring requires powerful/robust classification approaches able to provide reliable identifications in decision-making applications, even over challenging areas. The European Common Agricultural Policy (CAP) promotes the use of remote sensing for LU monitoring in Europe useful in the compliance control of the subsidy payments. In this context, the present study proposes a novel classification chain to identify ten land uses, namely: forest (FOR), pasture with trees (TRE), pasture with shrubs (SHR), pastureland (PAS), vineyard (VIN), arable land (ARL), fruit trees (FRU), nut trees (NUT), citrus (CIT), and olive grove (OLI), over three areas in the Valencian Autonomous Region (Spain) where smallholding farming predominates. The approach exploits the multitemporal information provided by Sentinel-2 data using a novel spatial strategy specifically designed to deal with heterogeneous agricultural areas. More precisely, we implemented a deep learning algorithm based on bidirectional recurrent neural networks to account for complex temporal dynamics. The classification results over the three areas showed accuracies higher than 95.5% over validation sets composed of in-situ checks never used during the training process. The proposed methodology outperformed standard approaches that not consider the spatial variability of the training samples, and revealed very good agreement concerning the Land Parcel Identification System (LPIS) of Spain. In addition, the developed chain proposes the novelty of using the kernel normalized difference vegetation index (kNDVI) as a predictor in a LU classification processing chain. Including the kNDVI instead of the traditional NDVI outperformed the classification accuracy in all metrics and classes. Ultimately, the obtained classifications were used for assessing the 2020 farmers? declarations in the three study areas. The declarations showed a level of agreement concerning the proposed approach near 99%."
426;Understanding the spatio-temporal behaviour of the sunflower crop for subfield areas delineation using Sentinel-2 NDVI time-series images in an organic farming system;Stefano Marino;"The study investigates the suitability of time series Sentinel-2 NDVI-derived maps for the subfield detection of a sunflower crop cultivated in an organic farming system. The aim was to understand the spatio-temporal behaviour of subfield areas identified by the K-means algorithm from NDVI maps obtained from satellite images and the ground yield data variability to increase the efficiency of delimiting management zones in an organic farming system. Experiments were conducted on a surface of 29 ha. NDVI time series derived from Sentinel-2 images and k-means algorithm for rapidly delineating the sunflower subfield areas were used. The crop achene yields in the whole field ranged from 1.3 to 3.77 t ha- 1 with a significant within-field spatial variability. The cluster analysis of hand-sampled data showed three subfields with achene yield mean values of 3.54 t ha- 1 (cluster 1), 2.98 t ha- 1 (cluster 2), and 2.07 t ha- 1 (Cluster 3). In the cluster analysis of NDVI data, the k-means algorithm has early delineated the subfield crop spatial and temporal yield variability. The best period for identifying subfield areas starts from the inflorescences development stage to the development of the fruit stage. Analyzing the NDVI subfield areas and yield data, it was found that cluster 1 covers an area of 42.4% of the total surface and 50% of the total achene yield cluster 2 covers 35% of both surface and yield. Instead, the surface of cluster 3 covers 22.2% of the total surface with 15% of achene yield. K-means algorithm derived from Sentinel-2 NDVI images delineates the sunflower subfield areas. Sentinel-2 images and k-means algorithms can improve an efficient assessment of subfield areas in sunflower crops. Identifying subfield areas can lead to site-specific long-term agronomic actions for improving the sustainable intensification of agriculture in the organic farming system."
427;"Prediction of the concentration of cadmium in agricultural soil in the Czech Republic using legacy data, preferential sampling, Sentinel-2, Landsat-8, and ensemble models";"Prince Chapman Agyeman a,* , Lubo?s Boruvka a , Ndiye Michael Kebonye b,c , Vahid Khosravi a , Kingsley John a , Ondrej Drabek a , Vaclav Tejnecky a";"The current study assesses and predicts cadmium (Cd) concentration in agricultural soil using two Cd datasets, namely legacy data (LD) and preferential sampling-legacy data (PS-LD), along with four streams of auxiliary datasets extracted from Sentinel-2 (S2) and Landsat-8 (L8) bands. The study was divided into two contexts: Cd prediction in agricultural soil using LD, ensemble models, 10 and 20 m spatial resolution of S2 and L8 (context 1), and Cd prediction in agricultural soil using PS-LD, ensemble models and 10 and 20 m spatial resolution of S2 and L8 (context 2). In context 1, ensemble 1, L8 with PS-LD was the cumulative optimal approach that predicted Cd in agricultural soil with a higher R2 value of 0.76, root mean square error (RMSE) of 0.66, mean absolute error (MAE) of 0.35, and median absolute error (MdAE) of 0.13. However, with R2 = 0.78, RMSE = 0.63, MAE = 0.34, and MdAE = 0.15, ensemble 1, S2 of PS-LD was the best prediction approach in predicting Cd concentration in agricultural soil in context 2. Overall, the predictions from both contexts indicated that ensemble 1 of S2 combined with PS-LD was the most appropriate and best model for Cd prediction in agricultural soil. The modeling approaches? uncertainty in both contexts was assessed using ensemble-sequential gaussian simulation (EnSGS), which revealed that the degree of uncertainty propagated in the study area was within 5% in both contexts. The combination of the PS dataset and the LD along with ensemble models and the remote sensing dataset, produced promising results. Nonetheless, the results demonstrated that the 20 m spatial resolution band dataset used in the prediction of Cd in agricultural soil outperformed the 10 m spatial resolution. When PS is combined with LD, an appropriate modeling approach, and a well-correlated remote sensing dataset are used, good results are obtained."
428;China?s agricultural assistance efficiency to Africa: Two decades of Forum for China-Africa Cooperation creation;"Ndoricimpa Sim?eon a,b,1 , Xiaoyang Li a,1,* , Sangmeng Xiao a,1";"African countries continue to import the same agricultural products that they produce locally. Africa?s dependence on food aid or importation is often a challenge to understand, considering the immense potential of its land and favorable climate for agriculture. This paper investigates whether China?s agricultural support generates positive effects on Africa despite controversial narratives. China?s agricultural assistance in Africa has aroused hope and mistrust in African peoples. Most projects that were initiated in Africa flourished at the beginning, only to collapse after the withdrawal of Chinese partners. In addition, China?s agricultural aid in Africa is perceived differently inside and outside of China. Western donors accuse China of having hidden motives behind financial aid and donations. African countries consider China?s agricultural assistance in Africa to be mutually beneficial. The international collaboration of African agriculture should prioritize sustainable impacts."
429;Deep learning for precision agriculture: A bibliometric analysis;"Solemane Coulibaly a,b,1,* , Bernard Kamsu-Foguem b,2 , Dantouma Kamissoko a , Daouda Traore a,3";"Recent advances in communication technologies with the emergence of connected objects have changed the agricultural area. In this new digital age, the development of artificial intelligence, particularly deep learning, has allowed for acceleration and improvement in the processing of collected data. To highlight the evolution and advances observed in deep learning in agriculture, we conducted a bibliometric study on more than 400 recent research studies. The analyses carried out on recent research works suggest that deep learning is widely involved in the digitization of agriculture areas with high accuracy exceeding the standard image processing techniques. Most of the works focus on crop classification problems, weed, and pest identification. Their methods are mainly based on convolutional neural network architecture. From the cases study, we have identified three key challenges that are essential in the deep learning methods applied in agriculture: (i) the need to consider the perception of the domain actors, their appropriation or interaction with the existing tools (ii) the requirement to perform statistical tests to analyze the performance of the classifiers resulting from the learning process and (iii) the need to perform statistical cross-validations with the training data. In the end, we summarized the agricultural data processing process consisting of several parts, for a better consideration of the expectations resulting from the challenges addressed. We consider that this study can serve as a guideline of research for the scientist and practician in the application of deep learning methodology in agriculture."
430;"Cultured meat in cellular agriculture: Advantages, applications and challenges";"Nur Rasyidah Jahir a , Seeram Ramakrishna b , Amirul Al Ashraf Abdullah c,d,e,**, Sevakumaran Vigneswari f,";"The concept behind cellular agriculture is to produce new meat and plant product with almost little or zero meat or plant input by using their tissue or cell. It is a new approach that allows meat to be produced in a bioreactor rather than from farm animals. This concept also can be used by biotechnologists to make meat or skeletal tissue outside of an organism. The purpose of this paper is to review the types of production of cultured meat, potential benefits, and potential challenges in producing cultured meat. Two types of cultured meat production are highlighted in this review, as well as the reduction of environmental burden in food production, nutritional value, and animal welfare, as well as technical and ethical limitations in cultured meat production, public perception, and consumer acceptance of cultured meat. As a result, the concerns regarding the food supply in the face of expanding population and climate change have prompted more research on the importance of cultured meat. Cultured meat can be produced in several ways, and each has the potential to contribute to agricultural technology in ensuring food security, nutritional and hygienic requirements, and reduction of carbon. Cultured meat is a vital source of nutrition, particularly in developing nations where hunger is an issue. This review paper will assist researchers in identifying relevant information about cultured meat and the various perspective including religious perception in consuming and accepting this cultured meat."
431;"Integrating vector control within an emerging agricultural system in a region of climate vulnerability in southern Malawi: A focus on malaria, schistosomiasis, and arboviral diseases";"Christopher M. Jones a,* , Anne L. Wilson a , Michelle C. Stanton a , J. Russell Stothard b , Federica Guglielmo a , James Chirombo c , Lindiwe Mafuleka c , Rose Oronje d , Themba Mzilahowa e,";"Infectious diseases are emerging at an unprecedented rate while food production intensifies to keep pace with population growth. Large-scale irrigation schemes have the potential to permanently transform the landscape with health, nutritional and socio-economic benefits yet, this also leads to a shift in land-use patterns that can promote endemic and invasive insect vectors and pathogens. The balance between ensuring food security and preventing emerging infectious disease is a necessity yet the impact of irrigation on vector-borne diseases at the epidemiological, entomological and economic level is uncertain and depends on the geographical and climatological context. Here, we highlight the risk factors and challenges facing vector-borne disease surveillance and control in an emerging agricultural ecosystem in the lower Shire Valley region of southern Malawi. A phased large scale irrigation programme (The Shire Valley Transformation Project, SVTP) promises to transform over 40,000 ha into viable and resilient farmland, yet the valley is endemic for malaria and schistosomiasis and experiences frequent extreme flooding events following tropical cyclones. The latter exacerbate vector-borne disease risk while simultaneously making any empirical assessment of that risk a significant hurdle. We propose that the SVTP provides a unique opportunity to take a One Health approach at mitigating vector-borne disease risk while maintaining agricultural output. A long-term and multi-disciplinary approach with buy-in from multiple stakeholders will be needed to achieve this goal."
432;Strigolactone agonists/antagonists for agricultural applications: New opportunities;"Da-Wei Wang a,**, Zhen Xi a,b";"Strigolactones (SLs) are a new class of phytohormones that not only act as signalling molecules with external rhizospheric fungus and stimulate the seed germination of root parasite weeds, but also regulate many aspects of plant development, such as regulating root and shoot architecture. These intriguing properties, which in turn, make SLs great potency for applications in agriculture. In this review, we highlight the recent advancements in applying SLs and their agonists or antagonists for agricultural applications, including controlling root parasite weeds, improving plant nutrient availability, and regulating abiotic stress responses. Although many SL agonists or antagonists have been synthesized since the first isolation of SL, strigol, in 1966, there is still no commercial application of this class of molecule. We also present an overview of the possible challenges for the practical application of SL agonists or antagonists."
